Time,N_R,N_S,N_L,N_U,S_R,S_S,S_L,S_U,SW_R,SW_S,SW_L,SW_U,NE_R,NE_S,NE_L,NE_U
00:00,1,28,0,0,0,61,11,0,7,0,4,0,0,0,2,0
00:15,1,26,0,0,0,51,11,0,7,0,4,0,0,0,2,0
00:30,1,25,0,0,0,42,11,0,7,0,4,0,0,0,2,0
00:45,1,23,0,0,0,35,11,0,7,0,4,0,0,0,2,0
01:00,1,21,0,0,0,32,11,0,7,0,4,0,0,0,2,0
01:15,1,18,0,0,0,29,11,0,7,0,4,0,0,0,2,0
01:30,1,16,0,0,0,26,11,0,7,0,4,0,0,0,2,0
01:45,1,15,0,0,0,25,11,0,7,0,4,0,0,0,2,0
02:00,1,15,0,0,0,25,11,0,7,0,4,0,0,0,2,0
02:15,1,17,0,0,0,25,11,0,7,0,4,0,0,0,2,0
02:30,1,21,0,0,0,25,11,0,7,0,4,0,0,0,2,0
02:45,1,26,0,0,0,25,11,0,7,0,4,0,0,0,2,0
03:00,1,33,0,0,0,25,11,0,7,0,4,0,0,0,2,0
03:15,1,43,0,0,0,26,11,0,7,0,4,0,0,0,2,0
03:30,1,58,0,0,0,28,11,0,7,0,4,0,0,0,2,0
03:45,1,77,0,0,0,32,11,0,7,0,4,0,0,0,2,0
04:00,1,106,0,0,0,36,11,0,7,0,4,0,0,0,2,0
04:15,1,167,0,1,0,44,13,0,11,0,5,0,0,0,4,0
04:30,1,248,0,1,0,58,16,0,17,0,6,0,0,0,8,0
04:45,2,332,0,2,0,74,20,0,24,0,8,0,0,1,12,0
05:00,2,412,0,2,0,98,24,0,36,0,10,0,0,2,17,0
05:15,3,511,0,3,0,142,29,0,61,1,12,0,1,3,27,0
05:30,4,605,1,3,0,198,35,1,93,1,14,0,1,4,38,0
05:45,4,667,1,4,0,250,41,1,121,1,17,0,2,5,49,0
06:00,5,676,1,4,0,288,47,1,139,2,19,0,2,6,59,0
06:15,6,672,2,4,0,325,55,1,154,2,21,0,3,8,71,0
06:30,6,666,2,4,0,357,61,1,166,3,24,0,3,9,82,0
06:45,7,658,2,4,0,377,66,1,174,3,26,0,4,10,88,0
07:00,8,649,3,3,1,380,67,1,173,4,29,0,4,10,88,0
07:15,13,729,6,3,6,332,85,13,182,10,25,0,1,11,106,0
07:30,8,672,4,2,1,420,82,13,170,7,28,0,0,8,82,0
07:45,15,734,8,4,2,380,126,7,169,10,52,0,0,22,86,0
08:00,15,583,5,5,11,499,116,9,179,18,39,0,1,16,74,0
08:15,12,659,6,5,14,438,124,14,178,8,32,0,0,17,74,0
08:30,5,585,6,10,15,408,107,7,178,7,32,0,3,13,80,0
08:45,11,622,4,9,14,369,114,5,170,17,34,0,2,30,67,0
09:00,14,597,4,8,13,369,118,5,166,17,34,0,1,28,60,0
09:15,16,572,4,8,13,372,123,5,166,17,35,0,1,26,55,0
09:30,19,546,4,8,14,379,128,5,165,18,36,0,1,24,52,0
09:45,22,522,4,8,14,387,131,5,163,18,36,0,1,23,49,0
10:00,24,500,4,9,14,396,131,5,162,17,36,0,1,21,47,0
10:15,27,479,4,9,13,409,130,5,160,17,37,0,1,20,46,0
10:30,29,459,4,9,13,424,129,5,157,16,37,0,1,19,44,0
10:45,31,442,4,10,13,439,129,6,154,15,37,0,1,17,42,0
11:00,32,427,5,10,13,453,128,6,151,15,38,0,1,16,41,0
11:15,33,414,5,10,12,467,128,6,147,14,38,0,1,15,39,0
11:30,34,404,5,10,12,480,127,6,143,13,39,0,1,14,36,0
11:45,34,398,5,10,11,493,127,6,138,12,40,0,1,14,34,0
12:00,35,396,6,11,11,505,128,7,133,11,42,0,2,14,31,0
12:15,30,428,10,5,9,423,162,3,118,9,52,0,9,16,26,0
12:30,25,379,5,17,9,499,115,2,119,11,41,0,8,20,33,0
12:45,31,360,6,11,11,491,154,7,104,6,47,0,6,24,26,0
13:00,31,354,7,11,11,504,158,7,108,7,48,0,5,23,26,0
13:15,30,348,7,11,11,539,160,7,112,8,49,0,6,23,26,0
13:30,28,342,6,11,11,583,161,6,115,9,49,0,6,23,27,0
13:45,26,337,6,11,11,622,159,6,118,10,49,0,6,23,28,0
14:00,23,338,5,12,12,643,158,5,118,11,48,0,6,22,29,0
14:15,21,346,5,13,12,660,164,3,118,14,46,0,6,22,31,0
14:30,20,358,5,14,13,674,171,2,118,18,45,0,7,21,32,0
14:45,19,365,4,14,14,684,178,2,118,21,44,0,7,20,34,0
15:00,19,364,5,15,14,691,186,2,119,24,45,0,7,19,37,0
15:15,28,231,6,15,14,710,213,5,103,19,46,0,6,17,38,0
15:30,20,296,3,12,19,698,179,6,107,15,55,0,1,25,33,0
15:45,26,254,9,12,20,629,203,9,124,9,37,0,6,24,38,0
16:00,19,414,3,7,20,701,206,5,141,7,50,0,4,27,43,0
16:15,19,390,2,18,18,682,271,2,112,7,45,0,6,29,43,0
16:30,22,418,9,10,22,678,213,0,120,4,43,0,2,36,38,0
16:45,27,374,7,7,21,589,278,7,122,2,41,0,3,27,53,0
17:00,26,363,6,6,19,573,269,6,128,1,43,0,2,25,50,0
17:15,25,352,5,6,17,557,257,6,139,1,47,0,2,24,48,0
17:30,24,340,5,6,16,540,244,6,151,1,50,0,2,23,46,0
17:45,22,327,4,6,14,521,230,6,159,1,53,0,2,22,44,0
18:00,20,313,4,5,12,500,217,5,159,1,53,0,2,21,41,0
18:15,19,298,3,5,11,476,204,5,152,1,52,0,2,19,38,0
18:30,18,282,3,5,10,450,191,5,142,0,51,0,1,17,34,0
18:45,16,266,2,4,8,425,179,5,130,0,49,0,1,16,31,0
19:00,15,253,2,4,7,401,169,4,118,0,47,0,1,14,28,0
19:15,15,241,2,4,6,377,159,4,105,0,44,0,1,13,26,0
19:30,14,229,2,4,6,354,150,4,90,0,41,0,1,12,24,0
19:45,13,218,1,4,5,332,141,3,77,0,37,0,1,11,22,0
20:00,13,204,1,3,4,311,132,3,66,0,33,0,1,10,20,0
20:15,12,189,1,3,4,291,122,3,55,0,30,0,1,9,18,0
20:30,11,173,1,3,3,272,112,3,46,0,27,0,0,8,15,0
20:45,10,158,1,2,3,253,103,3,38,0,24,0,0,7,13,0
21:00,8,142,1,2,3,236,96,2,32,0,20,0,0,6,12,0
21:15,6,125,0,2,2,221,90,2,26,0,15,0,0,5,11,0
21:30,4,109,0,2,2,206,84,2,21,0,11,0,0,5,10,0
21:45,2,94,0,1,1,191,78,2,18,0,7,0,0,4,9,0
22:00,2,83,0,1,1,172,70,2,17,0,5,0,0,4,8,0
22:15,2,73,0,1,1,151,59,1,17,0,4,0,0,3,7,0
22:30,2,64,0,1,1,128,46,1,17,0,3,0,0,3,5,0
22:45,2,57,0,1,1,104,32,1,17,0,2,0,0,2,4,0
23:00,2,52,0,0,1,77,16,0,17,0,2,0,0,1,3,0
23:15,2,49,0,0,1,50,0,0,17,0,2,0,0,1,2,0
23:30,2,47,0,0,1,21,0,0,17,0,1,0,0,0,1,0
23:45,2,44,0,0,1,0,0,0,17,0,1,0,0,0,0,0
