Time,N_R,N_S,N_L,N_U,SW_R,SW_S,SW_L,SW_U,S_R,S_S,S_L,S_U,NE_R,NE_S,NE_L,NE_U,SUM
00:00,,,,,,,,,,,,,,,,,0
00:15,,,,,,,,,,,,,,,,,0
00:30,,,,,,,,,,,,,,,,,0
00:45,,,,,,,,,,,,,,,,,0
01:00,,,,,,,,,,,,,,,,,0
01:15,,,,,,,,,,,,,,,,,0
01:30,,,,,,,,,,,,,,,,,0
01:45,,,,,,,,,,,,,,,,,0
02:00,,,,,,,,,,,,,,,,,0
02:15,,,,,,,,,,,,,,,,,0
02:30,,,,,,,,,,,,,,,,,0
02:45,,,,,,,,,,,,,,,,,0
03:00,,,,,,,,,,,,,,,,,0
03:15,,,,,,,,,,,,,,,,,0
03:30,,,,,,,,,,,,,,,,,0
03:45,,,,,,,,,,,,,,,,,0
04:00,,,,,,,,,,,,,,,,,0
04:15,,,,,,,,,,,,,,,,,0
04:30,,,,,,,,,,,,,,,,,0
04:45,,,,,,,,,,,,,,,,,0
05:00,,,,,,,,,,,,,,,,,0
05:15,,,,,,,,,,,,,,,,,0
05:30,,,,,,,,,,,,,,,,,0
05:45,,,,,,,,,,,,,,,,,0
06:00,,,,,,,,,,,,,,,,,0
06:15,,,,,,,,,,,,,,,,,0
06:30,,,,,,,,,,,,,,,,,0
06:45,,,,,,,,,,,,,,,,,0
07:00,8,649,3,4,173,4,29,0,1,380,67,2,4,10,88,0,1422
07:15,13,729,6,4,182,10,25,0,6,332,85,13,1,11,106,0,1523
07:30,8,672,4,2,170,7,28,0,1,420,82,13,0,8,82,0,1497
07:45,15,734,8,4,170,10,52,0,2,380,126,8,0,22,86,0,1617
08:00,15,583,5,5,179,18,39,0,11,499,116,9,1,16,74,0,1570
08:15,13,659,6,5,178,8,32,0,14,438,124,15,0,17,74,0,1583
08:30,5,585,6,10,178,7,32,0,15,408,107,7,4,13,80,0,1457
08:45,11,622,4,9,170,17,34,0,14,369,114,5,2,30,67,0,1468
09:00,,,,,,,,,,,,,,,,,0
09:15,,,,,,,,,,,,,,,,,0
09:30,,,,,,,,,,,,,,,,,0
09:45,,,,,,,,,,,,,,,,,0
10:00,,,,,,,,,,,,,,,,,0
10:15,,,,,,,,,,,,,,,,,0
10:30,,,,,,,,,,,,,,,,,0
10:45,,,,,,,,,,,,,,,,,0
11:00,,,,,,,,,,,,,,,,,0
11:15,,,,,,,,,,,,,,,,,0
11:30,,,,,,,,,,,,,,,,,0
11:45,,,,,,,,,,,,,,,,,0
12:00,35,396,6,11,133,11,42,0,11,505,128,7,2,14,31,0,1332
12:15,30,428,10,5,118,9,52,0,9,423,162,3,9,16,26,0,1300
12:30,25,379,6,17,119,11,41,0,9,499,115,2,8,20,33,0,1284
12:45,31,360,7,11,105,7,47,0,11,491,154,7,6,24,26,0,1287
13:00,,,,,,,,,,,,,,,,,0
13:15,,,,,,,,,,,,,,,,,0
13:30,,,,,,,,,,,,,,,,,0
13:45,,,,,,,,,,,,,,,,,0
14:00,,,,,,,,,,,,,,,,,0
14:15,,,,,,,,,,,,,,,,,0
14:30,,,,,,,,,,,,,,,,,0
14:45,,,,,,,,,,,,,,,,,0
15:00,19,364,5,15,119,24,45,0,14,691,186,2,8,19,37,0,1548
15:15,29,231,6,15,103,19,46,0,14,710,213,6,6,17,38,0,1453
15:30,20,296,3,12,107,15,55,0,19,698,179,6,1,25,33,0,1469
15:45,26,255,9,12,124,9,37,0,20,629,203,9,6,24,38,0,1401
16:00,19,414,3,7,141,7,50,0,20,701,206,5,4,27,43,0,1647
16:15,19,390,2,18,112,7,45,0,18,682,271,2,6,29,43,0,1644
16:30,22,418,9,10,120,4,43,0,22,678,213,1,2,36,38,0,1616
16:45,27,374,7,7,122,2,41,0,21,589,278,7,3,27,53,0,1558
17:00,,,,,,,,,,,,,,,,,0
17:15,,,,,,,,,,,,,,,,,0
17:30,,,,,,,,,,,,,,,,,0
17:45,,,,,,,,,,,,,,,,,0
18:00,,,,,,,,,,,,,,,,,0
18:15,,,,,,,,,,,,,,,,,0
18:30,,,,,,,,,,,,,,,,,0
18:45,,,,,,,,,,,,,,,,,0
19:00,,,,,,,,,,,,,,,,,0
19:15,,,,,,,,,,,,,,,,,0
19:30,,,,,,,,,,,,,,,,,0
19:45,,,,,,,,,,,,,,,,,0
20:00,,,,,,,,,,,,,,,,,0
20:15,,,,,,,,,,,,,,,,,0
20:30,,,,,,,,,,,,,,,,,0
20:45,,,,,,,,,,,,,,,,,0
21:00,,,,,,,,,,,,,,,,,0
21:15,,,,,,,,,,,,,,,,,0
21:30,,,,,,,,,,,,,,,,,0
21:45,,,,,,,,,,,,,,,,,0
22:00,,,,,,,,,,,,,,,,,0
22:15,,,,,,,,,,,,,,,,,0
22:30,,,,,,,,,,,,,,,,,0
22:45,,,,,,,,,,,,,,,,,0
23:00,,,,,,,,,,,,,,,,,0
23:15,,,,,,,,,,,,,,,,,0
23:30,,,,,,,,,,,,,,,,,0
23:45,,,,,,,,,,,,,,,,,0
